title,salary,hinhthuc,capbac,gender,ex,add,keyword,link
Tuyển Nhân Viên Nhận Diện Khách Hàng (Kyc) - Tiếng Nhật Từ N3 Trở Lên,Thoả thuận,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hồ Chí Minh,"Hành chính / Văn phòng,Kinh doanh / Bán hàng,Dịch vụ khách hàng",https://www.topcv.vn/viec-lam/nhan-vien-nhan-dien-khach-hang-kyc-tieng-nhat-tu-n3-tro-len/810160.html
Tuyển Nhân Viên Chăm Sóc Khách Hàng (Fintech),8-11 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hồ Chí Minh,"Dịch vụ khách hàng,Hành chính / Văn phòng,Tư vấn",https://www.topcv.vn/viec-lam/nhan-vien-cham-soc-khach-hang-fintech/808145.html
Tuyển Nhân Viên Chăm Sóc Khách Hàng - Kinh Doanh (Lương Cơ Bản 10 Triệu Trở Lên),7-10 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,Hà Nội,"Kinh doanh / Bán hàng,Dịch vụ khách hàng,Tư vấn",https://www.topcv.vn/viec-lam/nhan-vien-cham-soc-khach-hang-kinh-doanh-luong-co-ban-10-trieu-tro-len/808039.html
Tuyển Chuyên Viên Quan Hệ Khách Hàng (Lương Cứng Từ 18 - 26 Triệu),18-26 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hà Nội,"Kinh doanh / Bán hàng,Bảo hiểm,Tư vấn",https://www.topcv.vn/viec-lam/chuyen-vien-quan-he-khach-hang-luong-cung-tu-18-26-trieu/803326.html
Tuyển Quản Lý Mảng Sự Kiện ( Lĩnh Vực Thời Trang - Giải Trí),10-15 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,Hà Nội,"Thời trang,Marketing / Truyền thông / Quảng cáo,Tổ chức sự kiện / Quà tặng",https://www.topcv.vn/viec-lam/quan-ly-mang-su-kien-linh-vuc-thoi-trang-giai-tri/809315.html
Tuyển Kế Toán Thuế - Công Nợ,7-12 triệu,Toàn thời gian,Nhân viên,Nữ,2 năm,Hà Nội,"Kế toán / Kiểm toán,Hành chính / Văn phòng",https://www.topcv.vn/viec-lam/ke-toan-thue-cong-no/808692.html
"Tuyển Chuyên Viên Thẩm Định Tài Sản - Khu Vực Bình Dương, Bình Phước, Vũng Tàu, Tây Ninh, Daklak, Đồng Nai, Lâm Đồng, Kiên Giang, Đồng Tháp, An Giang)",Thoả thuận,Toàn thời gian,Nhân viên,Nam,1 năm,Bình Dương,"Ngân hàng / Tài chính,Bất động sản",https://www.topcv.vn/viec-lam/chuyen-vien-tham-dinh-tai-san-khu-vuc-binh-duong-binh-phuoc-vung-tau-tay-ninh-daklak-dong-nai-lam-dong-kien-giang-dong-thap-an-giang/812523.html
Tuyển Kế Toán Trưởng,Thoả thuận,Toàn thời gian,Trưởng/Phó phòng,Không yêu cầu,2 năm,Hà Nội,"Kế toán / Kiểm toán,Ngân hàng / Tài chính",https://www.topcv.vn/viec-lam/ke-toan-truong/807199.html
"Tuyển Fullstack Frontend/Backend Developer ( PHP, Nodejs, Python ) Upto 1000$",17-25 triệu,Toàn thời gian,Nhân viên,Nam,1 năm,Hà Nội,"Công nghệ thông tin,IT Phần cứng / Mạng,IT phần mềm,Việc làm IT",https://www.topcv.vn/viec-lam/fullstack-frontend-backend-developer-php-nodejs-python-upto-1000/804515.html
,"Tới 2,000 USD",Toàn thời gian,Nhân viên,Không yêu cầu,3 năm,Hà Nội,,
Tuyển Digital Marketing (Lương Khởi Điểm Từ 15 Triệu Trở Lên),Trên 15 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hồ Chí Minh,"Marketing / Truyền thông / Quảng cáo,Báo chí / Truyền hình,Thiết kế đồ họa",https://www.topcv.vn/viec-lam/digital-marketing-luong-khoi-diem-tu-15-trieu-tro-len/809820.html
Tuyển Front-End - Thu Nhập Hấp Dẫn,Thoả thuận,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,Hồ Chí Minh,"IT phần mềm,Dược phẩm / Công nghệ sinh học,Công nghệ thông tin,Việc làm IT",https://www.topcv.vn/viec-lam/front-end-thu-nhap-hap-dan/808669.html
Tuyển Nhân Viên Chăm Sóc Khách Hàng (Lương Lên Đến 18 Triệu/Tháng Gồm Lương Cơ Bản + Thưởng),Tới 18 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hà Nội,"Dịch vụ khách hàng,Tư vấn",https://www.topcv.vn/viec-lam/nhan-vien-cham-soc-khach-hang-luong-len-den-18-trieu-thang-gom-luong-co-ban-thuong/812606.html
Tuyển Nhân Viên Kinh Doanh,Thoả thuận,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hồ Chí Minh,"Kinh doanh / Bán hàng,Tư vấn,Bán lẻ / bán sỉ",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh/812637.html
"Tuyển Trưởng Nhóm Chăm Sóc Khách Hàng Thu Nhập 10- 15 Triệu/ Tháng, Bắt Buộc Biết Tiếng Trung",10-15 triệu,Toàn thời gian,Trưởng nhóm,Không yêu cầu,1 năm,Hà Nội,"Dịch vụ khách hàng,Bưu chính - Viễn thông,Tư vấn",https://www.topcv.vn/viec-lam/truong-nhom-cham-soc-khach-hang-thu-nhap-10-15-trieu-thang-bat-buoc-biet-tieng-trung/812615.html
Tuyển Nhân Viên Hỗ Trợ Công Nghệ Thông Tin (IT Support),Tới 11 triệu,Toàn thời gian,Nhân viên,Nam,Không yêu cầu kinh nghiệm,Hồ Chí Minh,"IT Phần cứng / Mạng,Điện / Điện tử / Điện lạnh,Bảo trì / Sữa chữa,Việc làm IT",https://www.topcv.vn/viec-lam/nhan-vien-ho-tro-cong-nghe-thong-tin-it-support/806262.html
,8-15 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,Hà Nội,,
Tuyển Giáo Viên Dạy Tiếng Anh Ielts (Trung Tâm Ielts 1984),Trên 30 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hồ Chí Minh,"Giáo dục / Đào tạo,Hành chính / Văn phòng",https://www.topcv.vn/viec-lam/giao-vien-day-tieng-anh-ielts-trung-tam-ielts-1984/809641.html
